Player id,Player,Position,Number,D.O.B,Age,Height (cm),Country,Caps,International goals
306532,Daniel STURRIDGE,Forward,9,01.09.1989,24,179,England,11,4
319470,Mario GAVRANOVIC,Forward,17,24.11.1989,24,175,Switzerland,11,4
318601,Pedro RODRIGUEZ,Forward,11,28.07.1987,26,169,Spain,39,14
319311,Marco FABIAN,Midfielder,8,21.07.1989,24,171,Mexico,14,5
321722,Thomas MUELLER,Forward,13,13.09.1989,24,186,Germany,48,17
214135,Pierre WEBO,Forward,15,20.01.1982,32,180,Cameroon,54,19
352394,Marco REUS,Forward,21,31.05.1989,25,180,Germany,20,7
207851,Clint DEMPSEY,Forward,8,09.03.1983,31,185,USA,103,36
353118,Wilfried BONY,Forward,12,10.12.1988,25,182,Ivory Coast,23,8
230517,Theofanis GEKAS,Forward,17,23.05.1980,34,179,Greece,71,24
183864,Fernando TORRES,Forward,9,20.03.1984,30,186,Spain,107,36
216970,Salomon KALOU,Forward,8,05.08.1985,28,175,Ivory Coast,66,22
228627,Alexis SANCHEZ,Forward,7,19.12.1988,25,169,Chile,66,22
291393,KOO Jacheol,Forward,13,27.02.1989,25,182,South Korea,36,12
298681,Jeremain LENS,Forward,17,24.11.1987,26,178,Netherlands,21,7
229506,Cristhian STUANI,Forward,11,12.10.1986,27,186,Uruguay,9,3
373400,Enner VALENCIA,Forward,13,04.11.1989,24,179,Ecuador,9,3
186455,Shola AMEOBI,Forward,23,12.10.1981,32,188,Nigeria,6,2
218306,WILLIAN,Midfielder,19,09.08.1988,25,176,Brazil,6,2
358891,Oleg SHATOV,Midfielder,17,29.07.1990,23,176,Russia,6,2
306900,Okechukwu UCHEBO,Forward,20,03.02.1990,24,194,Nigeria,3,1
336435,Antoine GRIEZMANN,Forward,11,21.03.1991,23,175,France,3,1
189259,Diego FORLAN,Forward,10,19.05.1979,35,181,Uruguay,109,36
267834,Edinson CAVANI,Forward,21,14.02.1987,27,188,Uruguay,61,20
268596,Shinji KAGAWA,Forward,10,17.03.1989,25,172,Japan,56,18
214410,HUGO ALMEIDA,Forward,9,23.05.1984,30,193,Portugal,54,17
305036,Mesut OEZIL,Midfielder,8,15.10.1988,25,180,Germany,54,17
186808,Aleksandr KERZHAKOV,Forward,11,27.11.1982,31,175,Russia,80,25
217172,JO,Forward,21,20.03.1987,27,191,Brazil,16,5
358112,Romelu LUKAKU,Forward,9,13.05.1993,21,190,Belgium,29,9
216071,Zvjezdan MISIMOVIC,Midfielder,10,05.06.1982,32,180,Bosnia & Herzegovina,81,25
196812,Ashkan DEJAGAH,Forward,21,05.07.1986,27,182,Iran,13,4
228715,Felipe CAICEDO,Forward,11,05.09.1988,25,183,Ecuador,49,15
270144,Marcos URENA,Forward,21,05.03.1990,24,179,Costa Rica,23,7
349572,Jaimen AYOVI,Forward,17,21.02.1988,26,186,Ecuador,30,9
312868,OSCAR,Midfielder,11,09.09.1991,22,181,Brazil,30,9
349512,Carlos BACCA,Forward,17,08.09.1986,27,181,Columbia,10,3
366573,Saphir TAIDER,Midfielder,19,29.02.1992,22,179,Algeria,10,3
184616,Arjen ROBBEN,Forward,11,23.01.1984,30,180,Netherlands,74,22
313832,Jackson MARTINEZ,Forward,21,03.10.1986,27,186,Columbia,27,8
330689,JI Dongwon,Midfielder,19,28.05.1991,23,186,South Korea,27,8
238072,Jozy ALTIDORE,Forward,17,06.11.1989,24,185,USA,68,20
313874,Esteban PAREDES,Forward,22,01.08.1980,33,179,Chile,34,10
297383,Roman SHIROKOV,Midfielder,15,06.07.1981,32,183,Russia,41,12
297103,Karim BENZEMA,Forward,10,19.12.1987,26,185,France,65,19
297839,Konan YA,Midfielder,13,22.05.1984,30,174,Ivory Coast,24,7
268149,LEE Keunho,Forward,11,11.04.1985,29,177,South Korea,63,18
274090,Victor MOSES,Forward,11,12.12.1990,23,177,Nigeria,21,6
184291,Maxi RODRIGUEZ,Midfielder,11,02.01.1981,33,180,Argentina,53,15
185385,Frank LAMPARD,Midfielder,8,20.06.1978,36,181,England,103,29
307529,Joel CAMPBELL,Forward,9,26.06.1992,21,178,Costa Rica,32,9
177927,Antonio CASSANO,Forward,10,12.07.1982,31,175,Italy,36,10
319358,Sofiane FEGHOULI,Forward,10,26.12.1989,24,177,Algeria,18,5
267811,Juan MATA,Forward,13,28.04.1988,26,171,Spain,33,9
321653,Xherdan SHAQIRI,Midfielder,23,10.10.1991,22,169,Switzerland,33,9
185641,Javad NEKOUNAM,Midfielder,6,07.09.1980,33,188,Iran,137,37
215002,Wesley SNEIJDER,Midfielder,10,09.06.1984,30,171,Netherlands,98,26
375518,Mario MANDZUKIC,Forward,17,21.05.1986,28,188,Croatia,49,13
318172,HULK,Forward,7,25.07.1986,27,179,Brazil,34,9
183000,Sulley MUNTARI,Midfielder,11,27.08.1984,29,179,Ghana,80,21
318768,Konstantinos MITROGLOU,Forward,9,12.03.1988,26,188,Greece,31,8
200176,David SILVA,Midfielder,21,08.01.1986,28,170,Spain,79,20
290186,GERVINHO,Forward,10,27.05.1987,27,179,Ivory Coast,52,13
302539,Alan DZAGOEV,Midfielder,10,17.06.1990,24,178,Russia,32,8
309316,Mario GOETZE,Forward,19,03.06.1992,22,176,Germany,28,7
307849,SON Heungmin,Midfielder,9,08.07.1992,21,183,South Korea,24,6
367393,Majeed WARIS,Forward,18,19.09.1991,22,172,Ghana,12,3
375459,Fidel MARTINEZ,Midfielder,20,15.02.1990,24,176,Ecuador,8,2
367347,Aron JOHANNSSON,Forward,9,10.11.1990,23,182,USA,8,2
356403,Izet HAJROVIC,Midfielder,20,04.08.1991,22,177,Bosnia & Herzegovina,8,2
275112,Manabu SAITO,Forward,20,04.04.1990,24,169,Japan,4,1
319438,Georginio WIJNALDUM,Midfielder,20,11.11.1990,23,175,Netherlands,4,1
359235,Lorenzo INSIGNE,Forward,22,04.06.1991,23,163,Italy,4,1
379972,Acquah AFRIYIE,Midfielder,6,01.05.1992,22,162,Ghana,4,1
369058,Ante REBIC,Forward,16,21.09.1993,20,185,Croatia,4,1
217313,Dirk KUYT,Forward,15,22.07.1980,33,184,Netherlands,98,24
358015,Olivier GIROUD,Forward,9,30.09.1986,27,192,France,29,7
358048,Alexander KOKORIN,Forward,9,19.03.1991,23,182,Russia,21,5
196752,Bastian SCHWEINSTEIGER,Midfielder,7,01.08.1984,29,183,Germany,101,23
358120,Kevin DE BRUYNE,Midfielder,7,28.06.1991,22,181,Belgium,22,5
330659,Karim ANSARI FARD,Forward,10,03.04.1990,24,185,Iran,40,9
300235,Victor FAYZULIN,Midfielder,20,22.04.1986,28,176,Russia,18,4
213953,Jerry PALACIOS,Midfielder,9,13.05.1982,32,181,Honduras,23,5
356198,Alex OXLADE CHAMBERLAIN,Midfielder,15,15.08.1993,20,180,England,14,3
236530,Celso BORGES,Midfielder,5,27.05.1988,26,184,Costa Rica,61,13
214876,Bryan RUIZ,Forward,10,18.08.1985,28,187,Costa Rica,62,13
299878,Loic REMY,Forward,20,02.01.1987,27,185,France,24,5
234551,Giovani DOS SANTOS,Forward,10,11.05.1989,25,179,Mexico,73,15
237058,Randall BRENES,Forward,14,13.08.1983,30,170,Costa Rica,39,8
290452,Jefferson MONTERO,Midfielder,7,01.09.1989,24,170,Ecuador,39,8
290903,Kevin MIRALLAS,Forward,11,05.10.1987,26,179,Belgium,44,9
266800,Angel DI MARIA,Midfielder,7,14.02.1988,26,178,Argentina,45,9
362727,PAULINHO,Midfielder,8,25.07.1988,25,181,Brazil,25,5
306954,Jordi ALBA,Defender,18,21.03.1989,25,170,Spain,25,5
367388,Paul POGBA,Midfielder,19,15.03.1993,21,192,France,10,2
359217,Marco VERRATTI,Midfielder,23,05.11.1992,21,168,Italy,5,1
379886,Alireza JAHAN BAKHSH,Forward,9,11.08.1993,20,181,Iran,5,1
187258,Ivica OLIC,Forward,18,14.09.1979,34,183,Croatia,91,18
248373,Franck RIBERY,Forward,7,07.04.1983,31,175,France,81,16
198106,Yaya TOURE,Midfielder,19,13.05.1983,31,189,Ivory Coast,82,16
254167,NANI,Forward,17,17.11.1986,27,175,Portugal,73,14
214961,Steven GERRARD,Midfielder,4,30.05.1980,34,185,England,110,21
269058,James RODRIGUEZ,Midfielder,10,12.07.1991,22,180,Columbia,21,4
210704,Darijo SRNA,Defender,11,01.05.1982,32,182,Croatia,111,21
216435,Alexander SAMEDOV,Forward,19,19.07.1984,29,178,Russia,16,3
254166,VARELA,Forward,18,02.02.1985,29,180,Portugal,22,4
355997,Christian ATSU,Midfielder,7,10.01.1992,22,165,Ghana,22,4
178299,Mark BRESCIANO,Midfielder,23,11.02.1980,34,182,Australia,73,13
297705,Santi CAZORLA,Midfielder,20,13.12.1984,29,169,Spain,63,11
356731,Raul JIMENEZ,Forward,9,05.05.1991,23,186,Mexico,23,4
215513,Dimitrios SALPINGIDIS,Forward,14,18.08.1981,32,171,Greece,75,13
214228,Peter ODEMWINGIE,Forward,8,15.07.1981,32,181,Nigeria,60,10
299198,Miralem PJANIC,Midfielder,8,02.04.1990,24,180,Bosnia & Herzegovina,48,8
358024,Ioannis FETFATZIDIS,Forward,18,21.12.1990,23,164,Greece,18,3
367913,DANTE,Defender,13,18.10.1983,30,189,Brazil,12,2
196897,Kevin Prince BOATENG,Forward,9,06.03.1987,27,182,Ghana,12,2
371044,Miguel LAYUN,Defender,7,25.06.1988,25,178,Mexico,12,2
353235,Jordan AYEW,Forward,13,11.09.1991,22,160,Ghana,12,2
208016,FERNANDINHO,Midfielder,5,04.05.1985,29,179,Brazil,6,1
316997,Enzo PEREZ,Midfielder,8,22.02.1986,28,177,Argentina,6,1
356407,Michael LANG,Defender,6,08.02.1991,23,185,Switzerland,6,1
178842,Edison MENDEZ,Midfielder,8,16.03.1979,35,175,Ecuador,110,18
290902,Marouane FELLAINI,Midfielder,8,22.11.1987,26,194,Belgium,50,8
201787,Mauricio PINILLA,Forward,9,04.02.1984,30,185,Chile,25,4
209119,Daniele DE ROSSI,Midfielder,16,24.07.1983,30,182,Italy,94,15
175524,Michael ESSIEN,Midfielder,5,03.12.1982,31,180,Ghana,57,9
312672,Mix DISKERUD,Midfielder,10,02.10.1990,23,182,USA,19,3
316117,Nikica JELAVIC,Forward,9,27.08.1985,28,187,Croatia,32,5
311558,Granit XHAKA,Midfielder,10,27.09.1992,21,183,Switzerland,26,4
217117,Carlos VALDES,Defender,23,22.05.1985,29,189,Columbia,13,2
297106,Mathieu VALBUENA,Midfielder,8,28.09.1984,29,167,France,33,5
267543,Arturo VIDAL,Midfielder,8,22.05.1987,27,178,Chile,53,8
358108,Nacer CHADLI,Midfielder,22,02.08.1989,24,187,Belgium,20,3
274946,Emmanuel AGYEMANG BADU,Midfielder,8,02.12.1990,23,173,Ghana,47,7
175498,DaMarcus BEASLEY,Defender,7,24.05.1982,32,170,USA,115,17
200179,Cesc FABREGAS,Midfielder,10,04.05.1987,27,175,Spain,88,13
296633,Ivan RAKITIC,Midfielder,7,10.03.1988,26,184,Croatia,61,9
212410,KWAK Taehwi,Defender,4,08.07.1981,32,185,South Korea,34,5
215623,Alberto AQUILANI,Midfielder,14,07.07.1984,29,184,Italy,34,5
233531,Michael BRADLEY,Midfielder,4,31.07.1987,26,185,USA,84,12
233167,Haris MEDUNJANIN,Midfielder,18,08.03.1985,29,188,Bosnia & Herzegovina,35,5
207906,JUANFRAN,Defender,5,09.01.1985,29,180,Spain,7,1
298892,Augusto FERNANDEZ,Midfielder,13,10.04.1986,28,177,Argentina,7,1
354875,Abdelmoumene DJABOU,Forward,18,31.01.1987,27,168,Algeria,7,1
372989,Ermin BICAKCIC,Defender,3,24.01.1990,24,185,Bosnia & Herzegovina,7,1
321697,Mathew LECKIE,Forward,7,04.02.1991,23,181,Australia,7,1
367396,Fabrice OLINGA,Forward,19,12.05.1996,18,177,Cameroon,7,1
251352,Andres GUARDADO,Defender,18,28.09.1986,27,167,Mexico,101,14
229392,Ezequiel LAVEZZI,Forward,22,03.05.1985,29,173,Argentina,29,4
207528,Xabi ALONSO,Midfielder,14,25.11.1981,32,183,Spain,109,15
210214,RAUL MEIRELES,Midfielder,16,17.03.1983,31,179,Portugal,73,10
360728,Graham ZUSI,Midfielder,19,18.08.1986,27,177,USA,22,3
209979,Tranquillo BARNETTA,Midfielder,7,22.05.1985,29,178,Switzerland,74,10
344714,Ahmed MUSA,Forward,7,14.10.1992,21,176,Nigeria,37,5
273996,Eden HAZARD,Midfielder,10,07.01.1991,23,172,Belgium,45,6
218284,MARCELO,Defender,6,12.05.1988,26,174,Brazil,30,4
358736,Bruno MARTINS INDI,Defender,4,08.02.1992,22,186,Netherlands,15,2
305764,Gary CAHILL,Defender,5,19.12.1985,28,191,England,23,3
210213,BRUNO ALVES,Defender,2,27.11.1981,32,187,Portugal,71,9
375523,Daniel VAN BUYTEN,Defender,15,07.02.1978,36,196,Belgium,79,10
178119,Rafael MARQUEZ,Defender,4,13.02.1979,35,184,Mexico,119,15
183857,Andres INIESTA,Midfielder,6,11.05.1984,30,170,Spain,96,12
297331,Valentin STOCKER,Midfielder,14,12.04.1989,25,179,Switzerland,24,3
349592,Eugenio MENA,Defender,2,18.07.1988,25,174,Chile,24,3
296118,Benjamin MOUKANDJO,Forward,8,12.11.1988,25,178,Cameroon,16,2
349517,Victor IBARBO,Forward,14,19.05.1990,24,188,Columbia,8,1
177876,Andrea PIRLO,Midfielder,21,19.05.1979,35,177,Italy,108,13
353119,Max GRADEL,Midfielder,15,30.11.1987,26,177,Ivory Coast,25,3
275162,Toni KROOS,Midfielder,18,04.01.1990,24,182,Germany,43,5
358049,Denis GLUSHAKOV,Midfielder,8,27.01.1987,27,182,Russia,26,3
305378,Nicolas LODEIRO,Midfielder,14,21.03.1989,25,173,Uruguay,26,3
202544,Antonio VALENCIA,Midfielder,16,04.08.1985,28,180,Ecuador,70,8
184545,Segundo CASTILLO,Midfielder,14,15.05.1982,32,180,Ecuador,81,9
216567,Cristian RODRIGUEZ,Midfielder,7,30.09.1985,28,178,Uruguay,72,8
268414,LEE Chungyong,Midfielder,17,02.07.1988,25,180,South Korea,54,6
289195,Paul AGUILAR,Defender,22,06.03.1986,28,178,Mexico,27,3
321745,KIM Shinwook,Forward,18,14.04.1988,26,196,South Korea,27,3
309714,Juan CUADRADO,Midfielder,11,26.05.1988,26,178,Columbia,27,3
291389,KIM Bokyung,Midfielder,7,06.10.1989,24,178,South Korea,27,3
274135,Mamadou SAKHO,Defender,5,13.02.1990,24,186,France,18,2
295153,Ahmad ALNAMEH,Defender,17,20.10.1982,31,189,Iran,9,1
268594,Masato MORISHIGE,Defender,6,21.05.1987,27,183,Japan,9,1
369990,Rony MARTINEZ,Forward,16,16.10.1987,26,171,Honduras,9,1
336837,Diego CALVO,Midfielder,20,25.03.1991,23,178,Costa Rica,9,1
297112,Georgios SAMARAS,Forward,7,21.02.1985,29,192,Greece,73,8
241559,Luka MODRIC,Midfielder,10,09.09.1985,28,173,Croatia,74,8
228336,Vasileios TOROSIDIS,Defender,15,10.06.1985,29,185,Greece,65,7
229502,Alvaro PEREIRA,Midfielder,6,28.11.1985,28,182,Uruguay,56,6
359381,Ivan PERISIC,Midfielder,4,02.02.1989,25,187,Croatia,28,3
349574,Michael ARROYO,Midfielder,15,23.04.1987,27,178,Ecuador,19,2
198243,Abel AGUILAR,Midfielder,8,06.01.1985,29,187,Columbia,48,5
290821,Axel WITSEL,Midfielder,6,12.01.1989,25,183,Belgium,48,5
237949,Andranik TIMOTIAN,Midfielder,14,06.03.1983,31,178,Iran,77,8
298582,John BOYE,Defender,21,23.04.1987,27,160,Ghana,29,3
213170,Masoud SHOJAEI,Forward,7,09.06.1984,30,185,Iran,49,5
358011,Mathieu DEBUCHY,Defender,2,28.07.1985,28,178,France,20,2
318150,Charles ARANGUIZ,Midfielder,20,17.04.1989,25,171,Chile,20,2
290605,James TROISI,Midfielder,14,03.07.1988,25,177,Australia,10,1
356669,BERNARD,Forward,20,08.09.1992,21,166,Brazil,10,1
181406,MAICON,Defender,23,26.07.1981,32,186,Brazil,71,7
227839,Marvin CHAVEZ,Midfielder,10,03.11.1983,30,156,Honduras,41,4
304934,Roger ESPINOZA,Midfielder,15,25.10.1986,27,180,Honduras,41,4
239433,Diego LUGANO,Defender,2,02.11.1980,33,188,Uruguay,93,9
300407,Sejad SALIHOVIC,Midfielder,23,08.10.1984,29,182,Bosnia & Herzegovina,42,4
298959,RAMIRES,Midfielder,16,24.03.1987,27,181,Brazil,42,4
230739,Rodrigo PALACIO,Forward,18,05.02.1982,32,175,Argentina,21,2
209989,Philippe SENDEROS,Defender,4,14.02.1985,29,190,Switzerland,53,5
197514,Mile JEDINAK,Midfielder,15,03.08.1984,29,188,Australia,43,4
177855,Xavi HERNANDEZ,Midfielder,8,25.01.1980,34,170,Spain,131,12
300402,Senijad IBRICIC,Midfielder,17,26.09.1985,28,185,Bosnia & Herzegovina,44,4
290800,Dario VIDOSIC,Midfielder,20,08.04.1987,27,185,Australia,22,2
365464,Juan MONTES,Defender,4,26.12.1985,28,196,Honduras,11,1
311554,Haris SEFEROVIC,Forward,9,22.02.1992,22,187,Switzerland,11,1
358692,Julian DRAXLER,Midfielder,14,20.09.1993,20,185,Germany,11,1
184447,Walter AYOVI,Midfielder,10,11.08.1979,34,173,Ecuador,89,8
180936,Yoshito OKUBO,Forward,13,09.06.1982,32,170,Japan,56,5
290825,Moussa DEMBELE,Midfielder,19,16.07.1987,26,185,Belgium,56,5
196900,Sami KHEDIRA,Midfielder,6,04.04.1987,27,189,Germany,45,4
268406,KI Sungyueng,Midfielder,16,24.01.1989,25,186,South Korea,58,5
294620,Andre AYEW,Midfielder,10,17.12.1989,24,175,Ghana,47,4
177768,Yasuhito ENDO,Midfielder,7,28.01.1980,34,178,Japan,143,12
218253,Carlos SALCIDO,Defender,3,02.04.1980,34,176,Mexico,120,10
209502,Jean BEAUSEJOUR,Midfielder,15,01.06.1984,30,178,Chile,60,5
267527,Gary MEDEL,Defender,17,03.08.1987,26,171,Chile,60,5
296297,Mario MARTINEZ,Midfielder,23,30.07.1989,24,173,Honduras,36,3
183882,Hassan YEBDA,Midfielder,7,14.05.1984,30,188,Algeria,24,2
239424,HERNANES,Midfielder,18,29.05.1985,29,180,Brazil,24,2
358114,Dries MERTENS,Midfielder,14,06.05.1987,27,164,Belgium,24,2
318034,Federico FERNANDEZ,Defender,17,21.02.1989,25,190,Argentina,24,2
312432,Dejan LOVREN,Defender,6,05.07.1989,24,188,Croatia,24,2
323698,Vincent ABOUBAKAR,Forward,10,22.01.1992,22,176,Cameroon,24,2
261029,Gokhan INLER,Midfielder,8,27.06.1984,29,181,Switzerland,73,6
214887,Konstantinos KATSOURANIS,Midfielder,21,21.06.1979,35,183,Greece,110,9
190962,DANI ALVES,Defender,2,06.05.1983,31,175,Brazil,74,6
271182,Michael BARRANTES,Midfielder,11,04.10.1983,30,177,Costa Rica,50,4
299960,Phil JAGIELKA,Defender,6,17.08.1982,31,183,England,25,2
200847,Adrian RAMOS,Forward,19,22.01.1986,28,184,Columbia,25,2
281252,Fabian ORELLANA,Forward,14,27.01.1986,28,168,Chile,25,2
196605,Stephan LICHTSTEINER,Defender,2,16.01.1984,30,180,Switzerland,63,5
216814,Sergio RAMOS,Defender,15,30.03.1986,28,183,Spain,115,9
216874,Nicolas LOMBAERTS,Defender,18,20.03.1985,29,188,Belgium,26,2
356162,Esseid BELKALEM,Defender,4,01.01.1989,25,190,Algeria,13,1
168832,Georgios KARAGOUNIS,Midfielder,10,06.03.1977,37,176,Greece,134,10
199600,Jean MAKOUN,Midfielder,11,29.05.1983,31,170,Cameroon,67,5
178403,Joseph YOBO,Defender,2,06.09.1980,33,185,Nigeria,96,7
297377,Ognjen VUKOJEVIC,Midfielder,8,20.12.1983,30,184,Croatia,55,4
278072,Jalal HOSSEINI,Defender,4,03.02.1982,32,185,Iran,83,6
202655,Jorge VALDIVIA,Midfielder,10,19.10.1983,30,173,Chile,56,4
290904,Jan VERTONGHEN,Defender,5,24.04.1987,27,189,Belgium,56,4
197411,Mark MILLIGAN,Midfielder,5,04.08.1985,28,178,Australia,28,2
213124,Amirhossein SADEGHI,Defender,5,06.09.1981,32,185,Iran,14,1
364707,Albert ADOMAH,Midfielder,14,13.12.1987,26,162,Ghana,14,1
303394,Carlos PENA,Midfielder,21,29.03.1990,24,176,Mexico,14,1
306424,Tommy OAR,Midfielder,11,10.12.1991,22,170,Australia,14,1
269784,FABIO COENTRAO,Defender,5,11.03.1988,26,181,Portugal,43,3
234463,John Obi MIKEL,Midfielder,10,22.04.1987,27,188,Nigeria,58,4
358013,Yohan CABAYE,Midfielder,6,14.01.1986,28,175,France,29,2
311150,Mats HUMMELS,Defender,5,16.12.1988,25,192,Germany,29,2
305972,Joao ROJAS,Forward,9,14.06.1989,25,173,Ecuador,29,2
216004,Vincent KOMPANY,Defender,4,10.04.1986,28,190,Belgium,59,4
216973,Gerard PIQUE,Defender,3,02.02.1987,27,192,Spain,60,4
215208,Madjid BOUGUERRA,Defender,2,07.10.1982,31,189,Algeria,61,4
294619,Kwadwo ASAMOAH,Midfielder,20,09.12.1988,25,168,Ghana,61,4
200219,Fredy GUARIN,Midfielder,13,30.06.1986,27,187,Columbia,48,3
3408,Mario YEPES,Defender,3,13.01.1976,38,186,Columbia,97,6
200935,Stephane MBIA,Midfielder,17,20.05.1986,28,190,Cameroon,49,3
230114,Jorge CLAROS,Midfielder,20,08.01.1986,28,176,Honduras,49,3
215274,Giorgio CHIELLINI,Defender,3,14.08.1984,29,192,Italy,67,4
268821,Giancarlo GONZALEZ,Defender,3,08.02.1988,26,192,Costa Rica,34,2
295157,Hashem BEIKZADEH,Midfielder,19,22.01.1984,30,180,Iran,17,1
349588,Felipe GUTIERREZ,Midfielder,16,08.10.1990,23,175,Chile,17,1
330693,Andy NAJAR,Midfielder,17,16.03.1993,21,170,Honduras,17,1
310048,Enoh EYONG,Midfielder,18,23.03.1986,28,180,Cameroon,35,2
268822,Jose CUBERO,Midfielder,22,14.02.1987,27,178,Costa Rica,35,2
178963,Kolo TOURE,Defender,4,19.03.1981,33,183,Ivory Coast,106,6
297373,Vedran CORLUKA,Defender,5,05.02.1986,28,192,Croatia,72,4
321641,Leonardo BONUCCI,Defender,19,01.05.1987,27,190,Italy,36,2
210212,RICARDO COSTA,Defender,13,16.05.1981,33,183,Portugal,18,1
245156,Jose ROJAS,Defender,13,23.06.1983,30,174,Chile,18,1
299086,Lazaros CHRISTODOULOPOULOS,Midfielder,16,19.12.1986,27,182,Greece,18,1
367918,LUIZ GUSTAVO,Midfielder,17,23.07.1987,26,188,Brazil,18,1
233703,Martin DEMICHELIS,Defender,15,20.12.1980,33,184,Argentina,37,2
209827,Wilson PALACIOS,Midfielder,8,29.07.1984,29,181,Honduras,93,5
275931,PEPE,Defender,3,26.02.1983,31,186,Portugal,57,3
228936,Ignazio ABATE,Defender,7,12.11.1986,27,180,Italy,19,1
186787,Sergey IGNASHEVICH,Defender,4,14.07.1979,34,186,Russia,97,5
200262,Landry NGUEMO,Midfielder,7,28.11.1985,28,172,Cameroon,39,2
271253,Maya YOSHIDA,Defender,22,24.08.1988,25,189,Japan,40,2
251481,Pejman MONTAZERI,Defender,15,06.09.1983,30,186,Iran,20,1
233530,Marcelo DIAZ,Midfielder,21,30.12.1986,27,168,Chile,20,1
311148,Benedikt HOEWEDES,Defender,4,29.02.1988,26,187,Germany,20,1
375754,KIM Younggwon,Defender,5,27.02.1990,24,187,South Korea,20,1
315429,Ogenyi ONAZI,Midfielder,17,25.12.1992,21,168,Nigeria,20,1
